# ----------------------------------------
# Queries: Organic Google Search query
# Account: Baton Rouge GA Webpage
# Property: Baton Rouge GA Webpage
# ----------------------------------------
# 
# All Users
# Start date: 20241020
# End date: 20251020
Organic Google Search query,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position
gamblers anonymous,17,782,0.021739130434782608,32.86700767263427
gamblers anonymous near me,14,261,0.05363984674329502,6.942528735632184
ga meetings near me,13,67,0.19402985074626866,14.388059701492537
gambling anonymous,9,369,0.024390243902439025,34.90243902439025
gamblers anonymous meetings today,5,18,0.2777777777777778,21.944444444444443
gamblers anonymous meetings,4,122,0.03278688524590164,28.131147540983605
gambling anonymous near me,4,54,0.07407407407407407,7.666666666666667
gamblers anonymous meetings near me,2,37,0.05405405405405406,9.675675675675675
ga meetings near me today,1,4,0.25,16
gamblers addiction meetings near me,1,1,1,1
gamblers anonymous meeting near me,1,6,0.16666666666666666,17.166666666666668
gamblers anonymous support groups,1,24,0.041666666666666664,55.208333333333336
gambling addiction support groups near me,1,2,0.5,10.5
gambling anonymous meetings,1,13,0.07692307692307693,20.923076923076923
gambling anonymous meetings near me,1,6,0.16666666666666666,27.833333333333332
gambling anonymus,1,2,0.5,27.5
12 step gamblers anonymous program,0,5,0,70.6
12 step gambling program,0,11,0,65.36363636363636
12 step program gambling,0,18,0,65.66666666666667
12 steps for gamblers anonymous,0,1,0,62
12 steps for gambling addiction,0,1,0,90
12 steps ga,0,1,0,67
12 steps gamblers anonymous,0,31,0,58.41935483870968
12 steps gambling,0,8,0,66
12 steps of ga,0,2,0,52
12 steps of gamblers anonymous,0,38,0,57.73684210526316
12 steps of gambling anonymous,0,1,0,69
12 steps of recovery gambling,0,2,0,65
20 questions gamblers anonymous,0,5,0,60.8
20 questions of gamblers anonymous,0,1,0,58
al anon baton rouge,0,4,0,56.5
al anon meetings baton rouge,0,10,0,38.2
anonymous gamblers,0,5,0,48.6
anonymous gamblers meetings,0,9,0,63.666666666666664
anonymous gambling,0,219,0,53.47488584474886
attend a gamblers meeting online,0,21,0,93.0952380952381
auburn gamblers anonymous,0,16,0,84.8125
baton rouge aa meetings,0,1,0,69
baton rouge casino,0,3,0,84
baton rouge casinos,0,3,0,45.333333333333336
